Route_State,Total_Shipments,Avg_Lead_time,Std_Lead_time,Efficiency_Score
Lot's O' Nuts → Alabama,34,1295.2058823529412,253.0703315120563,0.4711876598465473
Lot's O' Nuts → Alberta,16,1273.875,266.9244275071131,0.5001698369565217
Lot's O' Nuts → Arizona,111,1306.1981981981983,253.9011554207598,0.4562524481002741
Lot's O' Nuts → Arkansas,31,1285.3548387096773,274.5291178712012,0.4845722300140254
Lot's O' Nuts → British Columbia,18,1273.7777777777778,307.0827739638931,0.5003019323671497
Lot's O' Nuts → California,1125,1316.9102222222223,265.3738414776562,0.44169806763285013
Lot's O' Nuts → Colorado,103,1347.5339805825242,252.65204374108782,0.4000897002954834
Lot's O' Nuts → Connecticut,47,1420.5531914893618,249.38575048294325,0.30087881591119325
Lot's O' Nuts → Delaware,43,1273.3023255813953,251.91623086934126,0.5009479271991912
Lot's O' Nuts → District of Columbia,8,1365.875,168.57676293012628,0.37516983695652173
Lot's O' Nuts → Florida,209,1318.6076555023924,283.18378637236333,0.43939177241522775
Lot's O' Nuts → Georgia,110,1329.5636363636363,243.441552515676,0.42450592885375504
Lot's O' Nuts → Idaho,14,1351.357142857143,255.74915809857885,0.39489518633540366
Lot's O' Nuts → Illinois,267,1319.9325842696628,268.3879387446412,0.4375915974596972
Lot's O' Nuts → Indiana,90,1366.7888888888888,236.12282532445067,0.37392814009661846
Lot's O' Nuts → Iowa,16,1479.0,187.5117774078915,0.22146739130434778
Lot's O' Nuts → Kansas,15,1248.8666666666666,216.09616466044093,0.5341485507246378
Lot's O' Nuts → Kentucky,77,1325.4025974025974,276.2697604144913,0.43015951439864486
Lot's O' Nuts → Louisiana,24,1302.9583333333333,283.0135162184288,0.46065443840579723
Lot's O' Nuts → Maine,6,1213.5,149.66462507887425,0.5822010869565217
Lot's O' Nuts → Manitoba,2,1454.0,258.8010819142764,0.2554347826086957
Lot's O' Nuts → Maryland,60,1370.6666666666667,221.91742751025282,0.368659420289855
Lot's O' Nuts → Massachusetts,76,1292.1184210526317,252.38272350302998,0.475382580091533
Lot's O' Nuts → Michigan,147,1303.0068027210884,247.1988411718261,0.46058858325939067
Lot's O' Nuts → Minnesota,43,1350.3953488372092,282.6305125858111,0.3962019716885744
Lot's O' Nuts → Mississippi,30,1297.6666666666667,286.77749795500586,0.46784420289855067
Lot's O' Nuts → Missouri,36,1364.8333333333333,267.22451769465835,0.37658514492753636
Lot's O' Nuts → Montana,8,1319.25,234.00167887065626,0.4385190217391305
Lot's O' Nuts → Nebraska,23,1336.1304347826087,237.68108968796182,0.4155836483931946
Lot's O' Nuts → Nevada,24,1243.25,239.22233609543338,0.5417798913043479
Lot's O' Nuts → New Brunswick,4,1273.25,298.4296399488496,0.5010190217391304
Lot's O' Nuts → New Hampshire,13,1272.4615384615386,210.88133131559064,0.5020903010033444
Lot's O' Nuts → New Jersey,65,1335.6615384615384,278.66833315582556,0.4162207357859533
Lot's O' Nuts → New Mexico,18,1456.9444444444443,258.26308342741896,0.25143417874396146
Lot's O' Nuts → New York,645,1330.5162790697675,249.26357709886216,0.42321157735085935
Lot's O' Nuts → Newfoundland and Labrador,6,1216.1666666666667,357.44729215181735,0.5785778985507246
Lot's O' Nuts → North Carolina,143,1314.1958041958042,249.30645372632327,0.4453861356035269
Lot's O' Nuts → North Dakota,5,1638.2,1.6431676725154905,0.005163043478260798
Lot's O' Nuts → Ohio,262,1334.1145038167938,260.4439516916097,0.41832268503153014
